"Refseq.ID"	"Organism"	"Spacer.Accession"	"Spacer.Start"	"Spacer.End"	"Proto.spacer.Start"	"Proto.spacer.End"	"Source"	"Product"	"Protein.id"	"GO.Function"	"GO.process"	"Gene"	"EC.number"	"TaxID"	"Species"	"Genus"	"Superkingdom"	"Phylum"	"Class"	"Order"	"Family"	"locus_tag"	"CRISPR.Type"
"NZ_MSKS01000022"	"Actinomyces oris strain WE8B-23 WE8B-23_"	"NZ_MSKS01000022.1"	9538	9566	9366	9394	"KE Watters ((PMID:30190307))"	"CRISPR-associated endonuclease Cas2"	"WP_075390485.1"	"GO:0004521"	"GO:0043571"	"cas2"	"Error: No EC number"	"544580"	"Actinomyces oris"	"Actinomyces"	"Bacteria"	"Actinobacteria"	"Actinomycetia"	"Actinomycetales"	"Actinomycetaceae"	"BKH20_RS07140"	"No CRISPR type prediction"
"NZ_KV807643"	"Actinomyces sp. HMSC072A03 Scaffold206"	"NZ_KV807643.1"	14897	14929	2866	2898	"KE Watters ((PMID:30190307))"	"AAA family ATPase"	"WP_024332437.1"	"Error: No function id"	"Error: No process id"	"Error: No gene name"	"Error: No EC number"	"1739339"	"Actinomyces sp."	"Actinomyces"	"Bacteria"	"Actinobacteria"	"Actinomycetia"	"Actinomycetales"	"Actinomycetaceae"	"HMPREF2835_RS05145"	"Error: HTTP Error 500: Internal Server Error"
"NZ_KN214180"	"Actinopolyspora erythraea strain YIM 90600 Scaffold7"	"NZ_KN214180.1"	69143	69176	785	818	"KE Watters ((PMID:30190307))"	"non-ribosomal peptide synthetase"	"WP_043578434.1"	"Error: No function id"	"Error: No process id"	"Error: No gene name"	"Error: No EC number"	"414996"	"Actinopolyspora erythraea"	"Actinopolyspora"	"Bacteria"	"Actinobacteria"	"Actinomycetia"	"Actinopolysporales"	"Actinopolysporaceae"	"IL38_RS20925
<1"	"I-E"
"NZ_FOMZ01000009"	"Actinopolyspora alba strain DSM 45004"	"NZ_FOMZ01000009.1"	243167	243200	1443	1476	"KE Watters ((PMID:30190307))"	"serine hydrolase domain-containing protein"	"WP_092927812.1"	"Error: No function id"	"Error: No process id"	"Error: No gene name"	"Error: No EC number"	"673379"	"Actinopolyspora alba"	"Actinopolyspora"	"Bacteria"	"Actinobacteria"	"Actinomycetia"	"Actinopolysporales"	"Actinopolysporaceae"	"BM150_RS14430"	"No CRISPR type prediction"
"NZ_FNJR01000026"	"Actinopolyspora xinjiangensis strain DSM 46732"	"NZ_FNJR01000026.1"	5089	5122	25252	25285	"KE Watters ((PMID:30190307))"	"Error: HTTP Error 400: Bad Request"	"Error: HTTP Error 400: Bad Request"	"Error: HTTP Error 400: Bad Request"	"Error: HTTP Error 400: Bad Request"	"Error: HTTP Error 400: Bad Request"	"Error: HTTP Error 400: Bad Request"	"405564"	"Actinopolyspora xinjiangensis"	"Actinopolyspora"	"Bacteria"	"Actinobacteria"	"Actinomycetia"	"Actinopolysporales"	"Actinopolysporaceae"	"Error: HTTP Error 400: Bad Request"	"No CRISPR type prediction"
"NZ_PNHE01000003"	"Dolosicoccus paucivorans strain UMB0852 ERR1203602.17957_1_14.3"	"NZ_PNHE01000003.1"	28607	28646	16139	16178	"KE Watters ((PMID:30190307))"	"PTS sugar transporter subunit IIA"	"WP_102233282.1"	"Error: No function id"	"Error: No process id"	"Error: No gene name"	"Error: No EC number"	"84521"	"Dolosicoccus paucivorans"	"Dolosicoccus"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Aerococcaceae"	"CJ205_RS01310"	"III-A"
"NZ_FNEL01000033"	"Dolosicoccus paucivorans strain DSM 15742"	"NZ_FNEL01000033.1"	85	120	34626	34661	"KE Watters ((PMID:30190307))"	"Error: HTTP Error 400: Bad Request"	"Error: HTTP Error 400: Bad Request"	"Error: HTTP Error 400: Bad Request"	"Error: HTTP Error 400: Bad Request"	"Error: HTTP Error 400: Bad Request"	"Error: HTTP Error 400: Bad Request"	"84521"	"Dolosicoccus paucivorans"	"Dolosicoccus"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Aerococcaceae"	"Error: HTTP Error 400: Bad Request"	"No CRISPR type prediction"
"NZ_CP014160"	"Aerococcus sanguinicola strain CCUG43001"	"NZ_CP014160.1"	1265179	1265212	2008297	2008330	"KE Watters ((PMID:30190307))"	"hypothetical protein"	"WP_067976409.1"	"Error: No function id"	"Error: No process id"	"Error: No gene name"	"Error: No EC number"	"119206"	"Aerococcus sanguinicola"	"Aerococcus"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Aerococcaceae"	"AWM72_RS09010"	"Error: HTTP Error 500: Internal Server Error"
"NZ_FTMJ01000001"	"Aeromonas sp. RU39B"	"NZ_FTMJ01000001.1"	20953	20985	4686	4718	"KE Watters ((PMID:30190307))"	"DHA2 family efflux MFS transporter permease subunit"	"Error: 'protein_id' is not in list"	"Error: 'protein_id' is not in list"	"Error: 'protein_id' is not in list"	"Error: 'protein_id' is not in list"	"Error: 'protein_id' is not in list"	"1907416"	"Aeromonas sp."	"Aeromonas"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Aeromonadales"	"Aeromonadaceae"	"BW958_RS00020"	"I-F"
"NQJF01000004"	"Oceanimonas baumannii strain ATCC 700832 NODE_4_length_286941_cov_124.576"	"NQJF01000004.1"	81673	81705	176985	177017	"KE Watters ((PMID:30190307))"	"lysine-sensitive aspartokinase 3"	"gb|OYD25255.1||gnl|WGS:NQJF|B6S09_06145"	"Error: HTTP Error 400: Bad Request"	"Error: HTTP Error 400: Bad Request"	"Error: HTTP Error 400: Bad Request"	"Error: HTTP Error 400: Bad Request"	"129578"	"Oceanimonas baumannii"	"Oceanimonas"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Aeromonadales"	"Aeromonadaceae"	"B6S09_06145
<1"	"I-E"
"NZ_CDBI01000088"	"Aeromonas popoffii strain CIP 105493"	"NZ_CDBI01000088.1"	7943	7975	29241	29273	"KE Watters ((PMID:30190307))"	"MARTX multifunctional-autoprocessing repeats-in-toxin holotoxin RtxA"	"WP_042038614.1"	"Error: No function id"	"Error: No process id"	"rtxA"	"Error: No EC number"	"70856"	"Aeromonas popoffii"	"Aeromonas"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Aeromonadales"	"Aeromonadaceae"	"BN1129_RS18805
<1"	"Error: HTTP Error 500: Internal Server Error"
"FXYA01000199"	"Akkermansia muciniphila isolate Mouse_2_MG.fasta genome assembly"	"FXYA01000199.1"	118050	118084	111442	111476	"KE Watters ((PMID:30190307))"	"Error: 'product' is not in list"	"Error: 'protein_id' is not in list"	"Error: 'protein_id' is not in list"	"Error: 'protein_id' is not in list"	"Error: 'protein_id' is not in list"	"Error: 'protein_id' is not in list"	"239935"	"Akkermansia muciniphila"	"Akkermansia"	"Bacteria"	"Verrucomicrobia"	"Verrucomicrobiae"	"Verrucomicrobiales"	"Akkermansiaceae"	"Error: 'locus_tag' is not in list"	"No CRISPR type prediction"
"NZ_KQ968639"	"Akkermansia sp. KLE1797 Scaffold605"	"NZ_KQ968639.1"	60635	60669	1	35	"KE Watters ((PMID:30190307))"	"Error: 'product' is not in list"	"Error: 'protein_id' is not in list"	"Error: 'protein_id' is not in list"	"Error: 'protein_id' is not in list"	"Error: 'protein_id' is not in list"	"Error: 'protein_id' is not in list"	"1574264"	"Akkermansia sp."	"Akkermansia"	"Bacteria"	"Verrucomicrobia"	"Verrucomicrobiae"	"Verrucomicrobiales"	"Akkermansiaceae"	"Error: 'locus_tag' is not in list"	"No CRISPR type prediction"
"NZ_PJKC01000006"	"Akkermansia muciniphila strain GP42 scaf-6"	"NZ_PJKC01000006.1"	93970	94004	325417	325451	"KE Watters ((PMID:30190307))"	"Error: HTTP Error 400: Bad Request"	"Error: HTTP Error 400: Bad Request"	"Error: HTTP Error 400: Bad Request"	"Error: HTTP Error 400: Bad Request"	"Error: HTTP Error 400: Bad Request"	"Error: HTTP Error 400: Bad Request"	"239935"	"Akkermansia muciniphila"	"Akkermansia"	"Bacteria"	"Verrucomicrobia"	"Verrucomicrobiae"	"Verrucomicrobiales"	"Akkermansiaceae"	"Error: HTTP Error 400: Bad Request"	"No CRISPR type prediction"
"NZ_AYSV01000123"	"Pelistega indica strain HM-7 "	"NZ_AYSV01000123.1"	1071	1104	6802	6835	"KE Watters ((PMID:30190307))"	"Error: 'product' is not in list"	"Error: 'protein_id' is not in list"	"Error: 'protein_id' is not in list"	"Error: 'protein_id' is not in list"	"Error: 'protein_id' is not in list"	"Error: 'protein_id' is not in list"	"1414851"	"Pelistega indica"	"Pelistega"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Alcaligenaceae"	"Error: 'locus_tag' is not in list"	"No CRISPR type prediction"
"NZ_CP020917"	"Achromobacter denitrificans strain PR1"	"NZ_CP020917.1"	2491154	2491186	1017587	1017619	"KE Watters ((PMID:30190307))"	"hypothetical protein"	"WP_088446200.1"	"Error: No function id"	"Error: No process id"	"Error: No gene name"	"Error: No EC number"	"32002"	"Achromobacter denitrificans"	"Achromobacter"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Alcaligenaceae"	"B9P52_RS32480"	"I-F"
"NZ_NJIH01000006"	"Candidimonas nitroreducens strain SC-089 Scaffold4_2"	"NZ_NJIH01000006.1"	108616	108651	82208	82243	"KE Watters ((PMID:30190307))"	"UDP-2,3-diacylglucosamine diphosphatase"	"WP_088603379.1"	"GO:0016462"	"GO:0009245"	"Error: No gene name"	"3.6.1.54"	"683354"	"Candidimonas nitroreducens"	"Candidimonas"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Alcaligenaceae"	"CEY11_RS10625"	"I-E"
"NZ_JPOG01000001"	"Algiphilus aromaticivorans DG1253 U743DRAFT_scf7180000000006_quiver.1_C"	"NZ_JPOG01000001.1"	2846809	2846841	2001871	2001903	"KE Watters ((PMID:30190307))"	"hypothetical protein"	"WP_043767521.1"	"Error: No function id"	"Error: No process id"	"Error: No gene name"	"Error: No EC number"	"1415780"	"Algiphilus aromaticivorans"	"Algiphilus"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Nevskiales"	"Algiphilaceae"	"U743_RS09230
<1"	"Error: HTTP Error 500: Internal Server Error"
"NZ_JPOG01000001"	"Algiphilus aromaticivorans DG1253 U743DRAFT_scf7180000000006_quiver.1_C"	"NZ_JPOG01000001.1"	2847358	2847390	1986644	1986676	"KE Watters ((PMID:30190307))"	"hypothetical protein"	"WP_052367802.1"	"Error: No function id"	"Error: No process id"	"Error: No gene name"	"Error: No EC number"	"1415780"	"Algiphilus aromaticivorans"	"Algiphilus"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Nevskiales"	"Algiphilaceae"	"U743_RS18070
<33"	"Error: HTTP Error 500: Internal Server Error"
"NZ_JPOG01000001"	"Algiphilus aromaticivorans DG1253 U743DRAFT_scf7180000000006_quiver.1_C"	"NZ_JPOG01000001.1"	2846931	2846963	1998267	1998299	"KE Watters ((PMID:30190307))"	"hypothetical protein"	"WP_043767512.1"	"Error: No function id"	"Error: No process id"	"Error: No gene name"	"Error: No EC number"	"1415780"	"Algiphilus aromaticivorans"	"Algiphilus"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Nevskiales"	"Algiphilaceae"	"U743_RS09215
<33"	"I-E"
"NZ_FPBV01000013"	"Alicyclobacillus macrosporangiidus strain DSM 17980"	"NZ_FPBV01000013.1"	108939	108975	100081	100117	"KE Watters ((PMID:30190307))"	"hypothetical protein"	"WP_074953474.1"	"Error: No function id"	"Error: No process id"	"Error: No gene name"	"Error: No EC number"	"392015"	"Alicyclobacillus macrosporangiidus"	"Alicyclobacillus"	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Alicyclobacillaceae"	"BM357_RS11860"	"I-B"
"NC_014098"	"Kyrpidia tusciae DSM 2912"	"NC_014098.1"	2778187	2778221	2941861	2941895	"KE Watters ((PMID:30190307))"	"GGDEF domain-containing protein"	"WP_013076778.1"	"Error: No function id"	"Error: No process id"	"Error: No gene name"	"Error: No EC number"	"562970"	"Kyrpidia tusciae"	"Kyrpidia"	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Alicyclobacillaceae"	"BTUS_RS14325"	"I-B"
"NZ_FPBV01000005"	"Alicyclobacillus macrosporangiidus strain DSM 17980"	"NZ_FPBV01000005.1"	77358	77394	83348	83384	"KE Watters ((PMID:30190307))"	"acetyl-CoA C-acetyltransferase"	"WP_074950609.1"	"GO:0016747"	"Error: No process id"	"Error: No gene name"	"2.3.1.9"	"392015"	"Alicyclobacillus macrosporangiidus"	"Alicyclobacillus"	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Alicyclobacillaceae"	"BM357_RS05920"	"No CRISPR type prediction"
"NVVC01000033"	"Alteromonas sp. isolate NORP73 "	"NVVC01000033.1"	16557	16589	45374	45406	"KE Watters ((PMID:30190307))"	"Error: HTTP Error 400: Bad Request"	"Error: HTTP Error 400: Bad Request"	"Error: HTTP Error 400: Bad Request"	"Error: HTTP Error 400: Bad Request"	"Error: HTTP Error 400: Bad Request"	"Error: HTTP Error 400: Bad Request"	"232"	"Alteromonas sp."	"Alteromonas"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Alteromonadaceae"	"Error: HTTP Error 400: Bad Request"	"I-F"
"NZ_NISX01000009"	"Lacimicrobium alkaliphilum strain X13M-12 "	"NZ_NISX01000009.1"	89853	89889	53130	53166	"KE Watters ((PMID:30190307))"	"hypothetical protein"	"WP_099034889.1"	"Error: No function id"	"Error: No process id"	"Error: No gene name"	"Error: No EC number"	"1526571"	"Lacimicrobium alkaliphilum"	"Lacimicrobium"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Alteromonadaceae"	"CDA54_RS10110
<1"	"I-C"
"NZ_FQWD01000015"	"Aestuariibacter aggregatus strain CGMCC 1.8995"	"NZ_FQWD01000015.1"	1983	2015	473045	473077	"KE Watters ((PMID:30190307))"	"Error: HTTP Error 400: Bad Request"	"Error: HTTP Error 400: Bad Request"	"Error: HTTP Error 400: Bad Request"	"Error: HTTP Error 400: Bad Request"	"Error: HTTP Error 400: Bad Request"	"Error: HTTP Error 400: Bad Request"	"634436"	"Aestuariibacter aggregatus"	"Aestuariibacter"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Alteromonadaceae"	"Error: HTTP Error 400: Bad Request"	"No CRISPR type prediction"
"NZ_LMVE01000048"	"Cylindrospermopsis sp. CR12 cyanobacteria_"	"NZ_LMVE01000048.1"	202220	202259	17346	17385	"KE Watters ((PMID:30190307))"	"LuxR C-terminal-related transcriptional regulator"	"WP_006275715.1"	"Error: No function id"	"GO:0006355"	"Error: No gene name"	"Error: No EC number"	"1747196"	"Cylindrospermopsis sp."	"Cylindrospermopsis"	"Bacteria"	"Cyanobacteria"	"Error: No info"	"Nostocales"	"Aphanizomenonaceae"	"ASL19_RS06490"	"I-D"
"NZ_BDUB01000001"	"Nodularia sp. NIES-3585"	"NZ_BDUB01000001.1"	4936920	4936958	4416342	4416380	"KE Watters ((PMID:30190307))"	"collagen-like protein"	"WP_217899869.1"	"Error: No function id"	"Error: No process id"	"Error: No gene name"	"Error: No EC number"	"1973477"	"Nodularia sp."	"Nodularia"	"Bacteria"	"Cyanobacteria"	"Error: No info"	"Nostocales"	"Aphanizomenonaceae"	"CA742_RS19585"	"No CRISPR type prediction"
"NZ_LMVE01000048"	"Cylindrospermopsis sp. CR12 cyanobacteria_"	"NZ_LMVE01000048.1"	202372	202412	21707	21747	"KE Watters ((PMID:30190307))"	"Error: 'product' is not in list"	"Error: 'protein_id' is not in list"	"Error: 'protein_id' is not in list"	"Error: 'protein_id' is not in list"	"Error: 'protein_id' is not in list"	"Error: 'protein_id' is not in list"	"1747196"	"Cylindrospermopsis sp."	"Cylindrospermopsis"	"Bacteria"	"Cyanobacteria"	"Error: No info"	"Nostocales"	"Aphanizomenonaceae"	"Error: 'locus_tag' is not in list"	"I-D"
"NC_013161"	"Cyanothece sp. PCC 8802"	"NC_013161.1"	4299434	4299472	4290818	4290856	"KE Watters ((PMID:30190307))"	"replicative DNA helicase"	"WP_015785103.1"	"GO:0003678"	"GO:0006260"	"dnaB"	"3.6.4.12"	"395962"	"Cyanothece sp."	"Cyanothece"	"Bacteria"	"Cyanobacteria"	"Error: No info"	"Chroococcales"	"Aphanothecaceae"	"CYAN8802_RS19995"	"V-F3"
"NC_011729"	"Cyanothece sp. PCC 7424"	"NC_011729.1"	1900255	1900288	150129	150162	"KE Watters ((PMID:30190307))"	"hypothetical protein"	"WP_157867321.1"	"Error: No function id"	"Error: No process id"	"Error: No gene name"	"Error: No EC number"	"65393"	"Cyanothece sp."	"Cyanothece"	"Bacteria"	"Cyanobacteria"	"Error: No info"	"Chroococcales"	"Aphanothecaceae"	"PCC7424_RS00665"	"I-D"
"NC_011726"	"Cyanothece sp. PCC 8801"	"NC_011726.1"	3093055	3093097	37373	37415	"KE Watters ((PMID:30190307))"	"ester cyclase"	"WP_012593420.1"	"Error: No function id"	"GO:0030638"	"Error: No gene name"	"Error: No EC number"	"41431"	"Cyanothece sp."	"Cyanothece"	"Bacteria"	"Cyanobacteria"	"Error: No info"	"Chroococcales"	"Aphanothecaceae"	"PCC8801_RS00180"	"V-K"
"NC_020814"	"Hydrogenobaculum sp. SN"	"NC_020814.1"	1088948	1088987	578092	578131	"KE Watters ((PMID:30190307))"	"flagellar basal body-associated FliL family protein"	"WP_015419260.1"	"Error: No function id"	"GO:0071973"	"Error: No gene name"	"Error: No EC number"	"547146"	"Hydrogenobaculum sp."	"Hydrogenobaculum"	"Bacteria"	"Aquificae"	"Aquificae"	"Aquificales"	"Aquificaceae"	"HYDSN_RS03235"	"I-B"
"NC_015587"	"Hydrogenobaculum sp. SHO"	"NC_015587.1"	929025	929061	1337724	1337760	"KE Watters ((PMID:30190307))"	"acyltransferase family protein"	"WP_015419986.1"	"Error: No function id"	"Error: No process id"	"Error: No gene name"	"Error: No EC number"	"547145"	"Hydrogenobaculum sp."	"Hydrogenobaculum"	"Bacteria"	"Aquificae"	"Aquificae"	"Aquificales"	"Aquificaceae"	"HYDSHO_RS07130"	"No CRISPR type prediction"
"NC_015557"	"Hydrogenobaculum sp. 3684"	"NC_015557.1"	1089651	1089691	40792	40832	"KE Watters ((PMID:30190307))"	"hydrogenase nickel incorporation protein HypB"	"WP_015418698.1"	"GO:0016530"	"GO:0036211"	"hypB"	"Error: No EC number"	"547143"	"Hydrogenobaculum sp."	"Hydrogenobaculum"	"Bacteria"	"Aquificae"	"Aquificae"	"Aquificales"	"Aquificaceae"	"HYD3684_RS00245"	"I-A"
"MTMS01000008"	"Archaeoglobus sp. JdFR-31 JGI24020J35080_1005447"	"MTMS01000008.1"	2124	2162	472	510	"KE Watters ((PMID:30190307))"	"Error: 'product' is not in list"	"Error: 'protein_id' is not in list"	"Error: 'protein_id' is not in list"	"Error: 'protein_id' is not in list"	"Error: 'protein_id' is not in list"	"Error: 'protein_id' is not in list"	"1934988"	"Archaeoglobus sp."	"Archaeoglobus"	"Archaea"	"Euryarchaeota"	"Archaeoglobi"	"Archaeoglobales"	"Archaeoglobaceae"	"Error: 'locus_tag' is not in list"	"No CRISPR type prediction"
"NC_021169"	"Archaeoglobus sulfaticallidus PM70-1"	"NC_021169.1"	1139870	1139907	1129124	1129161	"KE Watters ((PMID:30190307))"	"Error: 'product' is not in list"	"Error: 'protein_id' is not in list"	"Error: 'protein_id' is not in list"	"Error: 'protein_id' is not in list"	"Error: 'protein_id' is not in list"	"Error: 'protein_id' is not in list"	"387631"	"Archaeoglobus sulfaticallidus"	"Archaeoglobus"	"Archaea"	"Euryarchaeota"	"Archaeoglobi"	"Archaeoglobales"	"Archaeoglobaceae"	"Error: 'locus_tag' is not in list"	"I-A"
"MTMO01000040"	"Archaeoglobus sp. JdFR-27 JGI24020J35080_1000054"	"MTMO01000040.1"	128546	128585	22932	22971	"KE Watters ((PMID:30190307))"	"Error: 'product' is not in list"	"Error: 'protein_id' is not in list"	"Error: 'protein_id' is not in list"	"Error: 'protein_id' is not in list"	"Error: 'protein_id' is not in list"	"Error: 'protein_id' is not in list"	"1934984"	"Archaeoglobus sp."	"Archaeoglobus"	"Archaea"	"Euryarchaeota"	"Archaeoglobi"	"Archaeoglobales"	"Archaeoglobaceae"	"Error: 'locus_tag' is not in list"	"No CRISPR type prediction"
"NZ_FOAP01000003"	"Stigmatella aurantiaca strain DSM 17044"	"NZ_FOAP01000003.1"	196743	196778	297064	297099	"KE Watters ((PMID:30190307))"	"Error: 'product' is not in list"	"Error: 'protein_id' is not in list"	"Error: 'protein_id' is not in list"	"Error: 'protein_id' is not in list"	"Error: 'protein_id' is not in list"	"Error: 'protein_id' is not in list"	"41"	"Stigmatella aurantiaca"	"Stigmatella"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Myxococcales"	"Archangiaceae"	"Error: 'locus_tag' is not in list"	"Hybrid(I-A,III-B)"
